ARR_DATA(I),"Integral(2.288965,2.202534)","Integral(1.952822,1.842824)","Integral(1.615170,1.500893)","Integral(3.170078,3.035240)","Integral(5.129191,4.843710)","Integral(6.377726,5.967492)"
6365.52,2192.96,726.572,2015.94,2303.24,723.896,1605.96
271145,1770.98,587.985,1513.18,1776.93,578.432,1255.14
536086,1450.31,483.193,1232.47,1396.21,451.444,989.82
800890,1175.86,413.189,1010.86,1104.71,371.564,782.442
1.07E+06,979.037,340.181,827.788,892.739,292.611,634.981
1.33E+06,805.794,275.005,681.316,709.451,229.21,499.263
1.60E+06,660.473,224.622,560.786,568.033,184.086,403.609
1.86E+06,545.505,186.157,462.009,458.004,145.076,321.791
2.13E+06,455.476,155.426,384.58,373.348,117.22,260.609
2.39E+06,381.289,130.145,321.05,305.462,95.926,214.013
2.66E+06,315.873,108.419,266.472,248.481,77.9871,173.405
2.92E+06,260.143,90.5973,221.765,202.34,62.4014,140.495
3.19E+06,218.653,75.0912,184.81,164.984,51.4865,114.893
3.45E+06,184.237,64.0172,155.897,137.401,42.0022,94.7877
3.72E+06,151.293,52.4878,128.038,110.871,33.6007,76.2185
3.98E+06,126.178,43.9305,106.548,89.9898,27.4689,62.2971
